City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Show Low,34.2542,-110.0298,55.08,26,0,4.61,US,1669060051
134,Las Compuertas,25.45,-108.35,80.08,38,75,3.0,MX,1669060051
135,Bucerías,20.75,-105.3333,77.99,74,63,3.67,MX,1669059856
136,Acapulco de Juárez,16.8634,-99.8901,84.27,67,1,6.08,MX,1669060052
137,Devarkonda,16.7,78.9333,70.05,57,90,3.94,IN,1669060052
138,Morón,-34.6534,-58.6198,66.09,79,90,11.65,AR,1669060053
139,Sisimiut,66.9395,-53.6735,19.74,92,100,8.01,GL,1669060053
140,Verāval,20.9,70.3667,73.83,39,15,9.84,IN,1669060054
141,Vardø,70.3705,31.1107,37.38,93,75,8.05,NO,1669060054
142,Torbay,47.6666,-52.7314,35.58,84,75,26.46,CA,1669060054
143,Saint-François,46.4154,3.9054,49.44,76,100,6.91,FR,1669060055
144,Kiryat Gat,31.61,34.7642,70.39,25,74,1.19,IL,1669059842
145,Bambanglipuro,-7.95,110.2833,76.44,88,100,5.19,ID,1669060055
146,Fortuna,40.5982,-124.1573,59.94,67,0,3.44,US,1669060056
147,Coquimbo,-29.9533,-71.3436,62.33,72,40,11.5,CL,1669060056
148,Verkh-Usugli,52.7,115.1667,2.62,88,100,1.45,RU,1669060056
149,Vanimo,-2.6741,141.3028,78.19,86,100,1.43,PG,1669060057
150,Tabou,4.423,-7.3528,78.37,84,33,7.14,CI,1669060057
151,Dingle,10.9995,122.6711,75.22,91,100,5.21,PH,1669060058
152,Porto-Novo,6.4965,2.6036,82.22,81,92,8.41,BJ,1669060058
153,Arraial do Cabo,-22.9661,-42.0278,80.56,69,40,23.02,BR,1669060059
154,Tazovsky,67.4667,78.7,-22.25,98,40,7.34,RU,1669060059
155,Bima,-8.4667,118.7167,78.22,90,100,3.0,ID,1669060060
156,Bilma,18.6853,12.9164,71.46,14,30,10.69,NE,1669060060
157,Vicuña,-30.0319,-70.7081,86.77,27,0,9.24,CL,1669060060
158,Catabola,-12.15,17.2833,61.79,93,99,4.88,AO,1669060061
159,Chyorny Yar,48.0624,46.1091,51.6,85,100,8.84,RU,1669060061
160,Nikolskoye,59.7035,30.7861,19.29,93,66,4.43,RU,1669060061
161,Zambezi,-13.5432,23.1047,70.25,68,67,5.86,ZM,1669060062
162,Acurenam,1.0322,10.6488,68.05,98,86,1.92,GQ,1669060062
163,Turukhansk,65.8167,87.9833,-16.64,98,98,4.99,RU,1669060063
164,Bumba,2.1833,22.4667,72.77,85,100,2.24,CD,1669060063
165,East London,-33.0153,27.9116,69.98,79,25,2.28,ZA,1669059991
166,Kudahuvadhoo,2.6708,72.8944,81.01,78,100,15.32,MV,1669060064
